id;scenario;uncertainty;component;var_name;var_value;var_unit;source;comment
;1_basic;reference;chp;capacity_installed;60;MW_th;own assumption;own assumtion based on \cite{Konstantin2018} S. 32
;1_basic;reference;chp;chp_surcharges;31;Eur/MW_el;paragraph 7 KWKG;for the power share > 2MW_el
;1_basic;reference;chp;efficiency_el;0.47;;DanishEnergyAgency2018;Gas turbine, combined cycle, back pressure
;1_basic;reference;chp;efficiency_el_full_cond;0.5;;;Dummy
;1_basic;reference;chp;efficiency_th;0.564;;DanishEnergyAgency2018;eff_th * cb_coeff (=1.2)
;1_basic;reference;chp;fom;0.023;share of overnight cost/a;DanishEnergyAgency2018;Gas turbine, combined cycle, back pressure
;1_basic;reference;chp;lifetime;25;a;DanishEnergyAgency2018;Gas turbine, combined cycle, back pressure
;1_basic;reference;chp;network_charges_WP;1.9;Eur/MWh;E.DISAG2016a;
;1_basic;reference;chp;overnight_cost;1300000;Eur/MW_el;DanishEnergyAgency2018;Gas turbine, combined cycle, back pressure
;1_basic;reference;chp;vom;4.5;Eur/MWh_el;DanishEnergyAgency2018;Gas turbine, combined cycle, back pressure
;1_basic;reference;district_heating_network;costs_heat_distribution_cap;;;;
;1_basic;reference;district_heating_network;costs_heat_distribution_var;23;Eur/MWh;Blesl2002;
;1_basic;reference;district_heating_network;fom;18;Eur/m;Totschnig2017a;S. 103
;1_basic;reference;gas_boiler_central;capacity_installed;60;MW_th;own assumption;own assumtion based on \cite{Konstantin2018} S. 32
;1_basic;reference;gas_boiler_central;efficiency;0.98;;Henning2014a;
;1_basic;reference;gas_boiler_central;fom;0.0333;share of overnight cost/a;DanishEnergyAgency2018;capacities: 0.5 - 10 MW_th
;1_basic;reference;gas_boiler_central;lifetime;25;a;DanishEnergyAgency2018;
;1_basic;reference;gas_boiler_central;network_charges_PP;7.967;Eur/MWh;E.DISAG2016a;
;1_basic;reference;gas_boiler_central;network_charges_WP;1.9;Eur/MWh;E.DISAG2016a;
;1_basic;reference;gas_boiler_central;overnight_cost;60000;Eur/MW_th;DanishEnergyAgency2018;capacities: 0.5 - 10 MW_th
;1_basic;reference;gas_boiler_central;vom;1.1;Eur/MWh;DanishEnergyAgency2018;capacities: 0.5 - 10 MW_th
;1_basic;reference;gas_boiler_hh_liq_gas;overnight_cost;200000;Eur/MW_th;https://www.kesselheld.de/gasheizung-kosten/#kosten-fuer-die-anschaffung-einer-gasheizung-5d6e4db1e87f9;incl. installation, heat storage, ect
