id;scenario;uncertainty;component;var_name;var_value;var_unit;source;comment
63;scenario_basic;reference;subnet-2_demand_th;mfh;{'annual_heat_demand': 100000, 'building_class': 4, 'wind_class': 1};MWh;own assumption;
64;scenario_basic;reference;subnet-2_demand_th;ghd;{'annual_heat_demand': 50000, 'wind_class': 1};MWh;own assumption;
65;scenario_basic;reference;subnet-2_hp;efficiency_thermal;;;;
66;scenario_basic;reference;subnet-2_pipe;efficiency;1;;;Dummy
67;scenario_basic;reference;subnet-2_pth;capacity_installed;2;;;Dummy
68;scenario_basic;reference;subnet-2_pth;efficiency_thermal;;;;
69;scenario_basic;reference;subnet-2_tes;capacity_installed;10;;;Dummy
70;scenario_basic;reference;subnet-2_tes;storage_level_initial;0.5;;;Dummy
71;scenario_basic;reference;subnet-2_tes;rate_loss;0.001;;;Dummy
72;scenario_basic;reference;subnet-2_tes;efficiency_charging;1;;;Dummy
73;scenario_basic;reference;subnet-2_tes;efficiency_discharging;1;;;Dummy
74;scenario_basic;reference;tes_central;capacity_installed;500;;;Dummy
75;scenario_basic;reference;tes_central;storage_level_initial;0.5;;;Dummy
76;scenario_basic;reference;tes_central;rate_loss;0.001;;;Dummy
77;scenario_basic;reference;tes_central;efficiency_charging;1;;;Dummy
78;scenario_basic;reference;tes_central;efficiency_discharging;1;;;Dummy
79;scenario_basic;reference;tes_central;power_charging;5;;;Dummy
80;scenario_basic;reference;tes_central;power_discharging;5;;;Dummy
81;scenario_basic;high;pth_heat_pump_decentral;fom;1;%of overnight cost/a;Gerhardt2015a;S. 195 Luft/Wasser
82;scenario_2050;reference;pth_heat_pump_decentral;overnight_cost;462000;Eur/MW_th;Totschnig2017a;S. 158 Ohne WÃ¤rmequelle
83;scenario_2050;reference;source_gas;carrier_price;46;Eur/MWh;Pfluger2017a;S. 23
84;scenario_2050;high;pth_heat_pump_noDH;overnight_cost;2100000;Eur/MW_th;Gerhardt2015a;S. 43 Luft/Wasser >25 kW
85;scenario_2050;high;source_gas;carrier_price;53.39;Eur/MWh;Duic2017;S. 8
86;scenario_2030;reference;source_gas;carrier_price;43.3;Eur/MWh;Duic2017;S. 8
87;scenario_2030;high;source_gas;carrier_price;46;Eur/MWh;Pfluger2017a;S. 23
88;scenario_basic;reference;source_electricity;emission_specific_electricity;0.503;tCO2e/MWh_el;Pfluger2017a;S. 246, BMWi Basisszenario
89;scenario_2030;reference;source_electricity;emission_specific_electricity;0.348;tCO2e/MWh_el;Pfluger2017a;S. 246, BMWi Basisszenario
90;scenario_2050;reference;source_electricity;emission_specific_electricity;0.067;tCO2e/MWh_el;Pfluger2017a;S. 246, BMWi Basisszenario
91;scenario_2030;high;source_electricity;emission_specific_electricity;0.485;tCO2e/MWh_el;Pfluger2017a;S. 181, BMWi Referenzszenario
92;scenario_2050;high;source_electricity;emission_specific_electricity;0.357;tCO2e/MWh_el;Pfluger2017a;S. 181, BMWi Referenzszenario
